Feature ID	Taxon	Confidence
ca2c310e4e8869c7790f092e54170db8	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopelagicus	0.8056714803190326
687bc5ae3e6024fe982c3c8faae3acf3	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopelagicus	0.9990523308849404
1b2b04a23fa9e4a14c91b1a68c1c0a46	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Nitrosopumilaceae	0.9993759001298889
46b4264b801ff99d959fd67b4df7d89c	d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia; o__Lokiarchaeia; f__Lokiarchaeia; g__Lokiarchaeia; s__uncultured_archaeon	0.9966337901897282
9f3463bd1686679097468f245d850042	Unassigned	0.48671210342062676
669e1104aece9bac99db592df4a90c28	d__Bacteria	0.7568527199577226
6ee558b28832a5ddc902e8f8fddfeed6	d__Bacteria; p__Planctomycetota; c__OM190; o__OM190; f__OM190; g__OM190; s__uncultured_organism	0.7959048035196193
a40620e647c51a09e87556ef38e246a9	d__Bacteria; p__Planctomycetota; c__OM190; o__OM190; f__OM190; g__OM190; s__uncultured_organism	0.9097283208233127
52572ef651782d38401fed5d227f75c4	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria	0.9874177312884844
c665c41acf254380c8d157d04ef79e06	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__Schizymenia_dubyi	0.9696475878673526
c3416daed2fc353d71a19bdb98573160	d__Bacteria	0.8427160375437143
7625c17ce70e4a49ce0562db7baa60c2	d__Bacteria	0.9219931286534044
cfcc44da325dfc62f6b9d1a699a19039	d__Bacteria	0.9749879872170908
c074ba70cf770ecda6a16213e478032e	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__Berkeleya_fennica	0.9754612882677878
c580b41ca2978680c520ff726a7aa6fd	d__Bacteria; p__Proteobacteria	0.7871126036249865
