   ARGDECARBOX-RXN hits 25.5 # ARGDECARBOX-RXN
   AGMATIN-RXN hits 6.5 # AGMATIN-RXN
   SAMDECARB-RXN hits 18.0 # SAMDECARB-RXN
   SPERMIDINESYN-RXN hits 17.5 # SPERMIDINESYN-RXN
   CARBPSYN-RXN hits 75.5 # CARBPSYN-RXN
   N-ACETYLTRANSFER-RXN hits 23.0 # N-ACETYLTRANSFER-RXN
   ACETYLGLUTKIN-RXN hits 29.5 # ACETYLGLUTKIN-RXN
   N-ACETYLGLUTPREDUCT-RXN hits 24.5 # N-ACETYLGLUTPREDUCT-RXN
   ACETYLORNTRANSAM-RXN hits 23.0 # ACETYLORNTRANSAM-RXN
   ACETYLORNDEACET-RXN hits 13.0 # ACETYLORNDEACET-RXN
   ORNCARBAMTRANSFER-RXN hits 16.5 # ORNCARBAMTRANSFER-RXN
   ARGSUCCINSYN-RXN hits 30.5 # ARGSUCCINSYN-RXN
   ARGSUCCINLYA-RXN hits 30.5 # ARGSUCCINLYA-RXN
path 14 fam0 4 fam-found 4 # ARGININE-SYN4-PWY
   GLUTAMATE-DEHYDROGENASE-NADP+-RXN hits 18.0 # GLUTAMATE-DEHYDROGENASE-NADP+-RXN
   GLUTKIN-RXN hits 30.5 # GLUTKIN-RXN
   GLUTSEMIALDEHYDROG-RXN hits 30.5 # GLUTSEMIALDEHYDROG-RXN
   ORNITHINE-GLU-AMINOTRANSFERASE-RXN hits 6.5 # ORNITHINE-GLU-AMINOTRANSFERASE-RXN
path 15 fam0 9 fam-found 9 # ARGSYN-PWY
   CARBPSYN-RXN hits 75.5 # CARBPSYN-RXN
   N-ACETYLTRANSFER-RXN hits 23.0 # N-ACETYLTRANSFER-RXN
   ACETYLGLUTKIN-RXN hits 29.5 # ACETYLGLUTKIN-RXN
   N-ACETYLGLUTPREDUCT-RXN hits 24.5 # N-ACETYLGLUTPREDUCT-RXN
   ACETYLORNTRANSAM-RXN hits 23.0 # ACETYLORNTRANSAM-RXN
   ACETYLORNDEACET-RXN hits 13.0 # ACETYLORNDEACET-RXN
   ORNCARBAMTRANSFER-RXN hits 16.5 # ORNCARBAMTRANSFER-RXN
   ARGSUCCINSYN-RXN hits 30.5 # ARGSUCCINSYN-RXN
   ARGSUCCINLYA-RXN hits 30.5 # ARGSUCCINLYA-RXN
path 16 fam0 9 fam-found 9 # ARGSYNBSUB-PWY
   N-ACETYLTRANSFER-RXN hits 23.0 # N-ACETYLTRANSFER-RXN
   ACETYLGLUTKIN-RXN hits 29.5 # ACETYLGLUTKIN-RXN
   N-ACETYLGLUTPREDUCT-RXN hits 24.5 # N-ACETYLGLUTPREDUCT-RXN
   ACETYLORNTRANSAM-RXN hits 23.0 # ACETYLORNTRANSAM-RXN
   GLUTAMATE-N-ACETYLTRANSFERASE-RXN hits 16.5 # GLUTAMATE-N-ACETYLTRANSFERASE-RXN
   CARBPSYN-RXN hits 75.5 # CARBPSYN-RXN
   ORNCARBAMTRANSFER-RXN hits 16.5 # ORNCARBAMTRANSFER-RXN
   ARGSUCCINSYN-RXN hits 30.5 # ARGSUCCINSYN-RXN
   ARGSUCCINLYA-RXN hits 30.5 # ARGSUCCINLYA-RXN
path 17 fam0 7 fam-found 7 # ARO-PWY
   DAHPSYN-RXN hits 35.0 # DAHPSYN-RXN
   3-DEHYDROQUINATE-SYNTHASE-RXN hits 30.5 # 3-DEHYDROQUINATE-SYNTHASE-RXN
   3-DEHYDROQUINATE-DEHYDRATASE-RXN hits 30.5 # 3-DEHYDROQUINATE-DEHYDRATASE-RXN
   SHIKIMATE-5-DEHYDROGENASE-RXN hits 25.5 # SHIKIMATE-5-DEHYDROGENASE-RXN
   SHIKIMATE-KINASE-RXN hits 45.5 # SHIKIMATE-KINASE-RXN
   2.5.1.19-RXN hits 30.5 # 2.5.1.19-RXN
   CHORISMATE-SYNTHASE-RXN hits 37.0 # CHORISMATE-SYNTHASE-RXN
path 18 fam0 4 fam-found 2 # ASPASN-PWY
